Renorun SKU,Feb 4,Feb 11,Feb 18,Feb 25,Mar 4,Mar 11,Mar 18,Mar 25,Apr 1,Apr 8,Apr 15,Apr 22,Apr 29,May 6,May 13,May 20,May 27,Jun 3,Jun 10,Jun 17,Jun 24,Jul 1,Jul 8,Jul 15
1000005648,0,0,0,0,0,0,600,600,675,675,675,675,675,655,544,519,475,445,410,399,399,399,399,389
2909002525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,396,396,396,396,396,396
1401001282,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,470,452,408,400,386,386,297,263,202
1501000776,243,231,231,231,231,231,231,287,287,455,455,455,443,412,426,426,426,426,395,380,380,129,97,1
1000001941,159,159,159,99,99,99,99,99,199,199,210,210,210,210,170,135,135,80,80,380,380,216,216,169
1101000648,73,59,111,90,323,290,281,269,251,211,176,151,113,89,58,441,391,329,333,378,378,105,82,68
1000002808,180,180,180,180,180,180,180,180,380,380,380,380,380,380,380,380,380,380,380,377,377,377,377,377
1000005647,0,0,0,0,0,0,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,349,349,349
1000001341,112,112,112,112,112,112,102,102,102,102,130,402,402,402,402,402,402,360,375,375,375,375,375,375
1000006203,0,0,0,0,0,0,0,0,189,189,189,58,35,25,0,0,368,366,365,365,365,211,202,159
1003001246,418,384,370,362,313,141,481,464,404,197,173,2,0,975,846,730,682,504,440,362,362,312,286,249
2909003268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,359,359,359,359,359,359,301
1102000735,382,380,380,376,370,342,342,342,502,451,447,396,411,404,392,392,387,383,374,357,357,219,219,217
1001000072,471,452,447,436,429,426,415,389,415,415,413,407,406,400,376,357,356,354,354,350,350,87,58,58
1202000938,505,499,498,494,494,494,435,425,422,422,418,401,395,363,354,354,354,354,353,346,346,0,660,659
1000001570,386,386,384,384,384,384,384,379,379,379,363,363,363,365,365,365,365,365,365,345,345,326,319,319
1101000663,184,134,487,599,566,478,394,358,281,185,682,602,527,459,323,276,136,492,474,345,345,67,136,220
2909003264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,340,340,340,340,340,340
1000001922,50,50,50,50,50,50,50,50,400,400,400,380,380,380,381,381,381,381,381,339,339,339,339,339
1404001118,70,70,70,70,70,70,70,70,154,358,356,356,351,348,342,339,339,339,339,339,339,332,329,326
1401000184,29,29,29,29,224,224,191,171,151,147,193,184,169,152,138,114,174,346,330,335,335,319,315,306
1302000591,130,117,81,50,8,152,222,202,230,313,337,314,317,399,387,366,358,347,340,335,335,67,39,12
1003000045,406,406,406,402,398,395,390,390,381,376,370,366,362,351,340,338,338,336,326,327,327,200,175,180
1000001579,62,62,60,60,60,55,55,55,51,51,51,51,45,31,44,95,95,5,329,326,326,325,325,325
1104000705,126,126,126,126,126,92,92,392,392,392,392,392,392,388,382,326,326,326,326,326,326,310,310,310
1000001550,26,23,23,23,175,167,93,23,23,127,127,127,325,325,325,325,325,325,325,325,325,283,280,225
1000001930,50,50,114,114,114,114,114,114,114,114,114,114,112,318,318,318,318,318,318,318,318,316,316,290
1000005774,0,0,0,0,0,0,0,128,128,384,383,383,383,373,370,352,337,586,317,316,316,315,300,288
1101000661,980,872,824,820,794,688,646,609,545,408,308,262,356,248,99,68,552,423,407,314,314,109,349,-2
1003000042,107,127,174,163,143,142,138,136,292,269,275,201,194,186,177,150,350,346,312,313,313,142,120,118
1101000645,371,324,289,255,194,171,135,51,186,128,96,70,248,153,216,388,280,236,117,313,313,528,460,229
1000005775,0,0,0,0,0,0,0,384,384,384,384,384,378,345,341,327,322,576,313,311,311,303,291,278
1702000028,228,228,374,350,356,356,356,351,344,321,321,321,314,309,309,309,307,305,305,305,305,72,72,72
1000001929,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,322,305,305,42,0,0
1004000037,167,123,127,85,54,142,112,284,242,160,329,193,94,66,30,402,448,417,356,303,303,246,234,234
1606001272,0,0,0,0,25,25,0,0,0,175,175,175,175,175,175,175,175,175,325,301,301,289,199,185
1000005935,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,0,50,300,300,300,336,336
1000001538,401,401,401,401,401,401,397,397,397,397,397,397,397,397,397,397,397,100,300,300,300,100,100,100
1000002655,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,290,290,290
1000001567,447,439,404,392,324,300,271,253,225,248,179,148,112,39,289,256,189,376,315,297,297,146,50,19
1000001327,250,250,250,250,250,250,250,250,250,250,250,250,250,295,295,295,295,295,295,295,295,140,140,140
1000002660,300,300,300,300,300,300,300,300,300,294,294,294,294,294,294,294,294,294,294,294,294,294,294,269
1004000036,385,378,372,348,239,234,190,159,102,82,314,401,395,391,385,366,356,341,315,290,290,255,237,211
